_id,BUDGET_YEAR,BUDGET_MONTH_DESC,GROUP_NAME,DUTY_NAME,PRODUCT_NAME,TAX_NETTAX_AMT,UPDATE_DATE
120,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,2787855.4700,2566-08-11T00:00:00
121,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,623498854.5600,2566-08-11T00:00:00
122,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4942607205.7000,2566-08-11T00:00:00
123,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,382200.0000,2566-08-11T00:00:00
124,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,1330.0000,2566-08-11T00:00:00
125,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,22733.1200,2566-08-11T00:00:00
126,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,556305.0000,2566-08-11T00:00:00
127,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,3750.0000,2566-08-11T00:00:00
128,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,34857.0200,2566-08-11T00:00:00
129,2564,ตุลาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),91367084.7500,2566-08-11T00:00:00
130,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ซิการ์,2934319.2000,2566-08-11T00:00:00
131,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,611949249.7600,2566-08-11T00:00:00
132,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4678491384.2800,2566-08-11T00:00:00
133,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,626595.0000,2566-08-11T00:00:00
134,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ยาสูบ,318032.0000,2566-08-11T00:00:00
135,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,1244.0000,2566-08-11T00:00:00
136,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,349261.0000,2566-08-11T00:00:00
137,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,7500.0000,2566-08-11T00:00:00
138,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,160869.7000,2566-08-11T00:00:00
139,2564,พฤศจิกายน,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),99879630.3800,2566-08-11T00:00:00
140,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,331476.5100,2566-08-11T00:00:00
141,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,481597280.0000,2566-08-11T00:00:00
142,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4769384160.0000,2566-08-11T00:00:00
143,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,679150.0000,2566-08-11T00:00:00
144,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,476.5500,2566-08-11T00:00:00
145,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,520547.0000,2566-08-11T00:00:00
146,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,7500.0000,2566-08-11T00:00:00
147,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,2914845.0800,2566-08-11T00:00:00
148,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),105105957.0000,2566-08-11T00:00:00
149,2564,ธันวาคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก) อื่นๆ นอกจาก (1),8000.0000,2566-08-11T00:00:00
150,2564,มกราคม,ภาษียาสูบ,ยาสูบ,ซิการ์,32868.4000,2566-08-11T00:00:00
151,2564,มกราคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,544198763.0000,2566-08-11T00:00:00
152,2564,มกราคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4450178200.0000,2566-08-11T00:00:00
153,2564,มกราคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,594775.0000,2566-08-11T00:00:00
154,2564,มกราคม,ภาษียาสูบ,ยาสูบ,ยาสูบบุหรี่ซิกาแรต,352.0000,2566-08-11T00:00:00
155,2564,มกราคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,386673.0000,2566-08-11T00:00:00
156,2564,มกราคม,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผลิตเพื่อขายเป็นวัตถุดิบให้แก่ผู้ประกอบอุสาหกรรมยาสูบโดยตรงหรือขายผ่านผู้ค้าคนกลางตามหลักเกณฑ์ วิธีการ และเงื่อนไขที่อธิบดีประกาศกำหนด,3750.0000,2566-08-11T00:00:00
157,2564,มกราคม,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,1725787.2800,2566-08-11T00:00:00
158,2564,มกราคม,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),67446626.8500,2566-08-11T00:00:00
159,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ซิการ์,3974808.5400,2566-08-11T00:00:00
160,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,375854880.0000,2566-08-11T00:00:00
161,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,4189057440.0000,2566-08-11T00:00:00
162,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,401700.0000,2566-08-11T00:00:00
163,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาสูบ,115.9100,2566-08-11T00:00:00
164,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,380628.0000,2566-08-11T00:00:00
165,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเส้นที่ผู้เพาะปลูกต้นยาสูบทำจากใบยาที่ปลูกและหั่นเองและขายให้ผู้ประกอบอุตสาหกรรมยาสูบ,11250.0000,2566-08-11T00:00:00
166,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเส้นปรุง,65271.7000,2566-08-11T00:00:00
167,2564,กุมภาพันธ์,ภาษียาสูบ,ยาสูบ,ยาเส้นอื่น นอกจาก (ก),79250514.5000,2566-08-11T00:00:00
168,2564,มีนาคม,ภาษียาสูบ,ยาสูบ,ซิการ์,3159898.9100,2566-08-11T00:00:00
169,2564,มีนาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำเกินกว่า 60 บาท,388261446.7100,2566-08-11T00:00:00
170,2564,มีนาคม,ภาษียาสูบ,ยาสูบ,บุหรี่ซิกาแรตที่มีราคาขายปลีกแนะนำไม่เกิน 60 บาท,5278506125.6400,2566-08-11T00:00:00
171,2564,มีนาคม,ภาษียาสูบ,ยาสูบ,บุหรี่อื่น,507900.0000,2566-08-11T00:00:00
172,2564,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาสูบ,42675.5000,2566-08-11T00:00:00
173,2564,มีนาคม,ภาษียาสูบ,ยาสูบ,ยาเคี้ยว,337353.0000,2566-08-11T00:00:00
